magnet	S_start	S_end	S_centre	angle	offset_start	offset_end	offset_centre
Dipole 0	0.000000000000	5.180000000000	2.590000000000	-0.033976833964	0.171000000000	-0.005000000000	0.083000000000
QD 0	8.211500000000	8.950500000000	8.581000000000	0.296346405398	-0.023000000000	0.196000000000	0.086500000000
QF 0	9.665000000000	10.387000000000	10.026000000000	-0.470914092614	0.144000000000	-0.196000000000	-0.026000000000
QC 0	16.224500000000	16.607500000000	16.416000000000	-0.603133086135	0.511000000000	0.280000000000	0.395500000000
Dipole 1	16.336282000000	21.516282000000	18.926282000000	-0.084169883971	-0.204000000000	-0.640000000000	-0.422000000000
QD 1	24.547782000000	25.286782000000	24.917282000000	0.108254397412	-0.002000000000	0.078000000000	0.038000000000
QF 1	26.001282000000	26.723282000000	26.362282000000	-0.054016620446	0.239000000000	0.200000000000	0.219500000000
Dipole 2	32.672564000000	37.852564000000	35.262564000000	0.081467181287	-0.507000000000	-0.085000000000	-0.296000000000
QD 2	40.884064000000	41.623064000000	41.253564000000	-0.058186738771	0.671000000000	0.628000000000	0.649500000000
QF 2	42.337564000000	43.059564000000	42.698564000000	-0.011080332409	0.598000000000	0.590000000000	0.594000000000
QC 2	48.897064000000	49.280064000000	49.088564000000	-4.394227591396	1.194000000000	-0.489000000000	0.352500000000
Dipole 3	49.008846000000	54.188846000000	51.598846000000	0.076640926491	0.243000000000	0.640000000000	0.441500000000
QD 3	57.220346000000	57.959346000000	57.589846000000	0.943166161468	0.298000000000	0.995000000000	0.646500000000
QF 3	58.673846000000	59.395846000000	59.034846000000	-0.296398883287	0.649000000000	0.435000000000	0.542000000000
QC 3	65.233346000000	65.616346000000	65.424846000000	-0.626631771767	0.192000000000	-0.048000000000	0.072000000000
Dipole 4	65.345128000000	70.525128000000	67.935128000000	0.017567567566	-1.142000000000	-1.051000000000	-1.096500000000
QD 4	73.556628000000	74.295628000000	73.926128000000	0.631934963242	-0.220000000000	0.247000000000	0.013500000000
QF 4	75.010128000000	75.732128000000	75.371128000000	-0.365650953233	0.228000000000	-0.036000000000	0.096000000000
QC 4	81.569628000000	81.952628000000	81.761128000000	-0.396866819896	0.207000000000	0.055000000000	0.131000000000
Dipole 5	81.681410000000	86.861410000000	84.271410000000	0.062548262467	0.199000000000	0.523000000000	0.361000000000
QD 5	89.892910000000	90.631910000000	90.262410000000	0.649526295668	0.316000000000	0.796000000000	0.556000000000
QF 5	91.346410000000	92.068410000000	91.707410000000	-0.026315789468	0.618000000000	0.599000000000	0.608500000000
QC 5	97.905910000000	98.288910000000	98.097410000000	-0.629242736795	0.735000000000	0.494000000000	0.614500000000
Dipole 6	98.017692000000	103.197692000000	100.607692000000	0.033783783771	0.190000000000	0.365000000000	0.277500000000
QD 6	106.229192000000	106.968192000000	106.598692000000	0.434370743994	0.275000000000	0.596000000000	0.435500000000
QF 6	107.682692000000	108.404692000000	108.043692000000	-0.570637057175	0.916000000000	0.504000000000	0.710000000000
QC 6	114.242192000000	114.625192000000	114.433692000000	0.180156656014	0.370000000000	0.439000000000	0.404500000000
Dipole 7	114.353974000000	119.533974000000	116.943974000000	0.046911196877	-0.527000000000	-0.284000000000	-0.405500000000
QD 7	122.565474000000	123.304474000000	122.934974000000	0.552097372863	0.377000000000	0.785000000000	0.581000000000
QF 7	124.018974000000	124.740974000000	124.379974000000	-0.117728531312	0.756000000000	0.671000000000	0.713500000000
QC 7	130.578474000000	130.961474000000	130.769974000000	-0.454308062739	0.652000000000	0.478000000000	0.565000000000
Dipole 8	130.690256000000	135.870256000000	133.280256000000	-0.018532818531	0.542000000000	0.446000000000	0.494000000000
QD 8	138.901756000000	139.640756000000	139.271256000000	0.707713007691	0.291000000000	0.814000000000	0.552500000000
QF 8	140.355256000000	141.077256000000	140.716256000000	-0.036011080317	0.696000000000	0.670000000000	0.683000000000
QC 8	146.914756000000	147.297756000000	147.106256000000	-0.198433417761	0.616000000000	0.540000000000	0.578000000000
Dipole 9	147.026538000000	152.206538000000	149.616538000000	-0.019111969110	-0.334000000000	-0.433000000000	-0.383500000000
QD 9	155.238038000000	155.977038000000	155.607538000000	0.592692758745	0.254000000000	0.692000000000	0.473000000000
QF 9	156.691538000000	157.413538000000	157.052538000000	-0.192520773245	0.349000000000	0.210000000000	0.279500000000
QC 9	163.251038000000	163.634038000000	163.442538000000	0.146214098175	0.459000000000	0.515000000000	0.487000000000
