bpm	plane	beam_energy_mev	tune	tune_err	closed_orbit_mm	closed_orbit_mm_err	beta_h_mm	beta_v_mm	tune_spread	tune_spread_err	tune_shift_per_turn	tune_shift_per_turn_err	closed_orbit_shift_per_turn_mm	closed_orbit_shift_per_turn_mm_err	betatron_phase_rad	betatron_phase_rad_err	beta_h_mm_err	beta_v_mm_err	beta_err	revolution_frequency_hz
R0HM1	H	71.120765536362	0.3328635589552612	0.0018674246275295259	12.148640977554557	0.9462234893232414	-34.88448043003459	NaN	0.04920698339226026	0.004968230538960382	-0.00033286790621474147	4.763142691457562e-05	-0.04210811448725531	0.02546545698455527	-1.8382889052373055	0.07915119532455861	2.41686304889674	NaN	2.41686304889674	676590.4586607495
R3HM1	H	71.12188150028373	0.3327689321945149	0.0015119778377953197	5.1789474562871165	1.1218259170332467	-42.60922144749168	NaN	0.04123891854393672	0.0038976848762189284	-0.00031281379574690115	3.508804693938965e-05	-0.20766378979293823	0.030205296767815526	-1.511375061889242	0.07091002535689622	2.7129739510670183	NaN	2.7129739510670183	676524.1227644044
R5HM1	H	71.16084818743519	0.33292011458119	0.0012994339368390514	4.546196051709342	0.8487686772922843	43.98919807187776	NaN	0.04534679543695555	0.0030921849416810266	-0.00030605213937942474	3.082632132809024e-05	-0.17269341647076294	0.022845341563340015	0.7740743584973472	0.06021816792342767	1.9838648163305679	NaN	1.9838648163305679	676720.3771100722
R8HM2	H	70.30077872397277	0.32734548146076364	0.007584209119823499	37.44168607381957	5.942803531089573	-27.3100709664631	NaN	0.01435803022212254	0.013199914218665183	-0.00017372111681582234	0.0001313867008271546	-0.4326651846160927	0.16287637292118728	-0.23335331342539406	0.5340814217327293	10.082737668087692	NaN	10.082737668087692	669421.2505898877
R3VM1	V	71.13837528456406	0.9021410816944913	0.0010722948377564748	-3.2171246419713753	0.8832993943931119	NaN	39.92201729711589	0.03457756611938644	0.0026440108947575485	0.00020049727484447772	2.2671115542060322e-05	0.024284394421597785	0.023218241776188416	0.9705911859848158	0.0558980370982121	NaN	2.0072538181117228	2.0072538181117228	676553.1320606878
R3VM2	V	70.29477783936909	0.9032174427437084	0.0036776014526227075	-9.165326735935912	4.395496998462796	NaN	43.412399134437244	0.02075767143047435	0.007722789962493822	0.00022197903284708312	6.72316986604756e-05	-0.16305476520238127	0.11755639242246471	0.8953274103957307	0.2350410713739194	NaN	8.419669534268683	8.419669534268683	669425.1305054041
R5VM1	V	71.12320498153366	0.9018204309316443	0.0009901531200294715	1.9121271668111608	0.8984775694257555	NaN	46.763800176260474	0.03376648875486482	0.0021832103892595596	0.00019198505363417933	2.0520383610788646e-05	0.0001381392828463062	0.024126054641794785	2.1117893157329997	0.054101974240069566	NaN	1.9122073939197437	1.9122073939197437	676570.9181839759
R6VM1	V	71.1272697264638	0.9015617557047458	0.0007587634780650941	-13.198796068055097	0.60989165818453	NaN	46.64736462964342	0.0357632263728307	0.001498159523855466	0.00019001925269171576	1.584725608294818e-05	0.043610323274641004	0.01636922028376433	-0.32477723511022427	0.04113622077797688	NaN	1.2214322812873477	1.2214322812873477	676706.9083538628
R7VM2	V	71.14491598673004	0.9029508331083668	0.000759779164547797	19.710053979915376	0.7103290699612645	NaN	-47.81890783576839	0.03424887129757349	0.0016954344009790486	0.00022510261985595075	1.5843912224740313e-05	-0.02944834168359468	0.01893877648203677	0.4991872960329603	0.040689446011524695	NaN	1.519832023131701	1.519832023131701	676874.8975521887
R9VM1	V	70.87895736416704	0.8401274460379073	0.006242794878023902	6.688338609507486	3.8607885620680316	NaN	-101.19332554965933	0.11132704398555529	0.02074709125111215	-0.004929457182170428	0.0003434202529413366	-0.06794136227906791	0.102042764028933	0.9760284131974601	0.12477123458651648	NaN	13.2966576509101	13.2966576509101	674609.5291706242
