bpm	plane	beam_energy_mev	tune	tune_err	closed_orbit_mm	closed_orbit_mm_err	beta_h_mm	beta_v_mm	tune_spread	tune_spread_err	tune_shift_per_turn	tune_shift_per_turn_err	closed_orbit_shift_per_turn_mm	closed_orbit_shift_per_turn_mm_err	betatron_phase_rad	betatron_phase_rad_err	beta_h_mm_err	beta_v_mm_err	beta_err	revolution_frequency_hz
R0HM1	H	71.11671924691058	0.33808733111121	0.0009942405128419685	3.697505162684173	0.8284308210766812	-41.18884956060554	NaN	0.03329299080355147	0.0023187856555863568	-1.5242648947622365e-05	2.0875475406971916e-05	-0.06912862584218084	0.02232775301976406	-1.7496803087528692	0.05285165807346943	1.8224419907541698	NaN	1.8224419907541698	676470.4489238908
R1HM1	H	70.28703709947479	0.3498340373650508	0.006800971049930508	8.958309772576456	5.006707600649877	-42.13294073348157	NaN	0.039713316050520885	0.016680660832130833	-0.0005389344387911937	0.000154761330844313	0.017980669695299392	0.13490605980564832	-0.8168174397658842	0.3270214852149312	11.812867048662913	NaN	11.812867048662913	676551.4195662402
R5HM1	H	71.1596416705911	0.3379117843309111	0.0008948751674359572	6.955896043598283	0.9213672259017787	-53.612061364525836	NaN	0.033442407967815224	0.0019447929948430568	-1.1090537327349874e-06	1.843698583550937e-05	-0.14068748683355478	0.02482767260934339	-2.3162010194643923	0.048934621950264025	1.940883796287057	NaN	1.940883796287057	676350.1063749037
R8HM2	H	70.54331107951862	0.3476989975982218	0.00285917453296917	26.46739340544444	2.2009795544977493	-61.10935238336125	NaN	0.05450717533187016	0.007454551337152928	-0.00044955255996231657	7.785317800204095e-05	-0.1293429971244902	0.060223037705066956	-0.5766618897470962	0.11293832269330889	5.7486141839894085	NaN	5.7486141839894085	671620.0816349535
R9HM1	H	70.55748518937287	0.3372909618070218	0.0008733165024036052	-1.590976068307559	0.9400085456156646	55.84591647956107	NaN	0.034800556272990724	0.002028405155314527	1.4859684871879235e-05	1.905434775121524e-05	-0.12449834719391624	0.026144824477335866	-0.8412658773807826	0.044551168180390066	2.0803414240986693	NaN	2.0803414240986693	671512.3299499507
R0VM1	V	71.13536462533648	0.7926395456528572	0.002989490659316701	5.220658577695622	1.1590075432223625	NaN	-23.018930878182548	0.038662081588126174	0.006589508958347416	-8.599597977669763e-05	6.519041944508715e-05	-0.3594264872694962	0.03122302056197722	-0.38855758888559566	0.1527002418831337	NaN	2.5159540426303533	2.5159540426303533	676839.8367920362
R1VM1	V	71.07600463234735	0.7941707633307822	0.004369441647792224	-8.394636227023806	0.8941372218063005	NaN	-10.39542168487845	0.035338265130796145	0.010598444568695315	9.342579898691344e-06	9.362003536644071e-05	-0.02268440901646417	0.023699685936054846	1.4784145429942723	0.22510260302766177	NaN	2.0349194204548584	2.0349194204548584	676555.9915997386
R3VM1	V	71.07011766385659	0.7944114585330471	0.001367060110568045	8.550721297733936	0.49713957757055016	NaN	18.347033165707952	0.03391641772042627	0.0031568502289305357	-5.627608971446299e-05	2.8364785824968917e-05	-0.017725964568656393	0.013162207153227518	0.8641346334077153	0.07346568348431774	NaN	1.0890420418045732	1.0890420418045732	676403.4776404396
R3VM2	V	71.11552679549067	0.794837020763045	0.0011949280490541193	3.982564398377992	0.5453766787511092	NaN	23.01457129310212	0.032595959335319946	0.0026099177658251943	-2.698823920592622e-05	2.4661498212539745e-05	0.00988741642487773	0.014669103054029417	0.6622858523785179	0.065163870051524	NaN	1.1517489879057865	1.1517489879057865	676607.7441249364
R3VM3	V	71.05003490446325	0.795543152574032	0.0016568061118890913	11.489907108372476	0.7523877610933529	NaN	-26.407571349562218	0.03752178379148293	0.0036011610718811402	-3.39456474537942e-05	3.596664781718159e-05	0.02378983760515798	0.02055992544524486	2.7396073299377637	0.08536449198674231	NaN	1.609536602294686	1.609536602294686	676484.9476620394
