magnet	S_start	S_end	S_centre	angle	offset_start	offset_end	offset_centre
Dipole 0	0.000000000000	5.180000000000	2.590000000000	-0.040733590711	0.114000000000	-0.097000000000	0.008500000000
QD 0	8.211500000000	8.950500000000	8.581000000000	0.320703642591	-0.105000000000	0.132000000000	0.013500000000
QF 0	9.665000000000	10.387000000000	10.026000000000	-0.505540123138	0.080000000000	-0.285000000000	-0.102500000000
Dipole 1	16.336282000000	21.516282000000	18.926282000000	-0.037644787627	-0.451000000000	-0.646000000000	-0.548500000000
Dipole 2	32.672564000000	37.852564000000	35.262564000000	0.280115822789	-1.437000000000	0.014000000000	-0.711500000000
QD 2	40.884064000000	41.623064000000	41.253564000000	-0.063599458642	0.496000000000	0.449000000000	0.472500000000
QF 2	42.337564000000	43.059564000000	42.698564000000	-0.009695290858	0.405000000000	0.398000000000	0.401500000000
Dipole 3	49.008846000000	54.188846000000	51.598846000000	0.214478761190	-0.479000000000	0.632000000000	0.076500000000
QD 3	57.220346000000	57.959346000000	57.589846000000	0.937753446364	0.173000000000	0.866000000000	0.519500000000
QF 3	58.673846000000	59.395846000000	59.034846000000	-0.267313013024	0.533000000000	0.340000000000	0.436500000000
Dipole 4	65.345128000000	70.525128000000	67.935128000000	0.149420848309	-1.806000000000	-1.032000000000	-1.419000000000
QD 4	73.556628000000	74.295628000000	73.926128000000	0.610284092028	-0.298000000000	0.153000000000	-0.072500000000
QF 4	75.010128000000	75.732128000000	75.371128000000	-0.349030456741	0.130000000000	-0.122000000000	0.004000000000
Dipole 5	81.681410000000	86.861410000000	84.271410000000	0.213127409900	-0.461000000000	0.643000000000	0.091000000000
QD 5	89.892910000000	90.631910000000	90.262410000000	0.640054039796	0.262000000000	0.735000000000	0.498500000000
QF 5	91.346410000000	92.068410000000	91.707410000000	-0.034626038767	0.582000000000	0.557000000000	0.569500000000
Dipole 6	98.017692000000	103.197692000000	100.607692000000	0.054440154386	0.040000000000	0.322000000000	0.181000000000
QD 6	106.229192000000	106.968192000000	106.598692000000	0.411366688569	0.262000000000	0.566000000000	0.414000000000
QF 6	107.682692000000	108.404692000000	108.043692000000	-0.562326810535	0.879000000000	0.473000000000	0.676000000000
Dipole 7	114.353974000000	119.533974000000	116.943974000000	0.055405405349	-0.601000000000	-0.314000000000	-0.457500000000
QD 7	122.565474000000	123.304474000000	122.934974000000	0.530446499640	0.257000000000	0.649000000000	0.453000000000
QF 7	124.018974000000	124.740974000000	124.379974000000	-0.081717451342	0.617000000000	0.558000000000	0.587500000000
Dipole 8	130.690256000000	135.870256000000	133.280256000000	-0.020077220074	0.357000000000	0.253000000000	0.305000000000
QD 8	138.901756000000	139.640756000000	139.271256000000	0.759133818992	0.126000000000	0.687000000000	0.406500000000
QF 8	140.355256000000	141.077256000000	140.716256000000	-0.072022160540	0.585000000000	0.533000000000	0.559000000000
Dipole 9	147.026538000000	152.206538000000	149.616538000000	0.092471042207	-0.954000000000	-0.475000000000	-0.714500000000
QD 9	155.238038000000	155.977038000000	155.607538000000	0.584573681721	0.109000000000	0.541000000000	0.325000000000
QF 9	156.691538000000	157.413538000000	157.052538000000	-0.178670358210	0.212000000000	0.083000000000	0.147500000000
