magnet	S_start	S_end	S_centre	angle	offset_start	offset_end	offset_centre
Dipole 0	0.000000000000	5.180000000000	2.590000000000	-0.057528957465	0.567000000000	0.269000000000	0.418000000000
QD 0	8.211500000000	8.950500000000	8.581000000000	0.370771295594	0.276000000000	0.550000000000	0.413000000000
QF 0	9.665000000000	10.387000000000	10.026000000000	-0.531855905530	0.476000000000	0.092000000000	0.284000000000
Dipole 1	16.336282000000	21.516282000000	18.926282000000	-0.033783783771	0.003000000000	-0.172000000000	-0.084500000000
Dipole 2	32.672564000000	37.852564000000	35.262564000000	0.269111962615	-1.152000000000	0.242000000000	-0.455000000000
QD 2	40.884064000000	41.623064000000	41.253564000000	-0.067658998544	0.701000000000	0.651000000000	0.676000000000
QF 2	42.337564000000	43.059564000000	42.698564000000	-0.011080332410	0.596000000000	0.588000000000	0.592000000000
Dipole 3	49.008846000000	54.188846000000	51.598846000000	0.194401541953	-0.268000000000	0.739000000000	0.235500000000
QD 3	57.220346000000	57.959346000000	57.589846000000	0.945872519000	0.250000000000	0.949000000000	0.599500000000
QF 3	58.673846000000	59.395846000000	59.034846000000	-0.252077556988	0.605000000000	0.423000000000	0.514000000000
Dipole 4	65.345128000000	70.525128000000	67.935128000000	0.159266407920	-1.762000000000	-0.937000000000	-1.349500000000
QD 4	73.556628000000	74.295628000000	73.926128000000	0.575101425094	-0.250000000000	0.175000000000	-0.037500000000
QF 4	75.010128000000	75.732128000000	75.371128000000	-0.360110787758	0.152000000000	-0.108000000000	0.022000000000
Dipole 5	81.681410000000	86.861410000000	84.271410000000	0.213320460085	-0.490000000000	0.615000000000	0.062500000000
QD 5	89.892910000000	90.631910000000	90.262410000000	0.564275988825	0.227000000000	0.644000000000	0.435500000000
QF 5	91.346410000000	92.068410000000	91.707410000000	-0.020775623266	0.478000000000	0.463000000000	0.470500000000
Dipole 6	98.017692000000	103.197692000000	100.607692000000	0.052509652461	-0.036000000000	0.236000000000	0.100000000000
QD 6	106.229192000000	106.968192000000	106.598692000000	0.423545306202	0.194000000000	0.507000000000	0.350500000000
QF 6	107.682692000000	108.404692000000	108.043692000000	-0.555401604941	0.819000000000	0.418000000000	0.618500000000
Dipole 7	114.353974000000	119.533974000000	116.943974000000	0.046138996106	-0.622000000000	-0.383000000000	-0.502500000000
QD 7	122.565474000000	123.304474000000	122.934974000000	0.564275988825	0.293000000000	0.710000000000	0.501500000000
QF 7	124.018974000000	124.740974000000	124.379974000000	-0.101108032896	0.650000000000	0.577000000000	0.613500000000
Dipole 8	130.690256000000	135.870256000000	133.280256000000	-0.005212355212	0.301000000000	0.274000000000	0.287500000000
QD 8	138.901756000000	139.640756000000	139.271256000000	0.677943062579	0.157000000000	0.658000000000	0.407500000000
QF 8	140.355256000000	141.077256000000	140.716256000000	-0.070637118996	0.480000000000	0.429000000000	0.454500000000
Dipole 9	147.026538000000	152.206538000000	149.616538000000	0.109845559404	-0.935000000000	-0.366000000000	-0.650500000000
QD 9	155.238038000000	155.977038000000	155.607538000000	0.598105476718	0.249000000000	0.691000000000	0.470000000000
QF 9	156.691538000000	157.413538000000	157.052538000000	-0.174515233686	0.368000000000	0.242000000000	0.305000000000
