magnet	S_start	S_end	S_centre	angle	offset_start	offset_end	offset_centre
Dipole 0	0.000000000000	5.180000000000	2.590000000000	-0.073166023035	0.739000000000	0.360000000000	0.549500000000
QD 0	8.211500000000	8.950500000000	8.581000000000	0.319350462757	0.297000000000	0.533000000000	0.415000000000
QF 0	9.665000000000	10.387000000000	10.026000000000	-0.537396070151	0.471000000000	0.083000000000	0.277000000000
Dipole 1	16.336282000000	21.516282000000	18.926282000000	-0.024710424705	0.054000000000	-0.074000000000	-0.010000000000
Dipole 2	32.672564000000	37.852564000000	35.262564000000	0.274710417800	-1.043000000000	0.380000000000	-0.331500000000
QD 2	40.884064000000	41.623064000000	41.253564000000	-0.059539918739	0.842000000000	0.798000000000	0.820000000000
QF 2	42.337564000000	43.059564000000	42.698564000000	-0.013850415512	0.747000000000	0.737000000000	0.742000000000
Dipole 3	49.008846000000	54.188846000000	51.598846000000	0.198841696221	-0.085000000000	0.945000000000	0.430000000000
QD 3	57.220346000000	57.959346000000	57.589846000000	0.967523378749	0.436000000000	1.151000000000	0.793500000000
QF 3	58.673846000000	59.395846000000	59.034846000000	-0.252077556988	0.821000000000	0.639000000000	0.730000000000
Dipole 4	65.345128000000	70.525128000000	67.935128000000	0.155019303778	-1.428000000000	-0.625000000000	-1.026500000000
QD 4	73.556628000000	74.295628000000	73.926128000000	0.661704910189	-0.004000000000	0.485000000000	0.240500000000
QF 4	75.010128000000	75.732128000000	75.371128000000	-0.364265911866	0.442000000000	0.179000000000	0.310500000000
Dipole 5	81.681410000000	86.861410000000	84.271410000000	0.215057911742	-0.202000000000	0.912000000000	0.355000000000
QD 5	89.892910000000	90.631910000000	90.262410000000	0.534506038408	0.447000000000	0.842000000000	0.644500000000
QF 5	91.346410000000	92.068410000000	91.707410000000	-0.009695290858	0.703000000000	0.696000000000	0.699500000000
Dipole 6	98.017692000000	103.197692000000	100.607692000000	0.056949806888	0.188000000000	0.483000000000	0.335500000000
QD 6	106.229192000000	106.968192000000	106.598692000000	0.393775351772	0.370000000000	0.661000000000	0.515500000000
QF 6	107.682692000000	108.404692000000	108.043692000000	-0.536011028999	0.974000000000	0.587000000000	0.780500000000
Dipole 7	114.353974000000	119.533974000000	116.943974000000	0.051544401499	-0.506000000000	-0.239000000000	-0.372500000000
QD 7	122.565474000000	123.304474000000	122.934974000000	0.557510091089	0.439000000000	0.851000000000	0.645000000000
QF 7	124.018974000000	124.740974000000	124.379974000000	-0.088642659048	0.805000000000	0.741000000000	0.773000000000
Dipole 8	130.690256000000	135.870256000000	133.280256000000	-0.002895752896	0.608000000000	0.593000000000	0.600500000000
QD 8	138.901756000000	139.640756000000	139.271256000000	0.688768497307	0.435000000000	0.944000000000	0.689500000000
QF 8	140.355256000000	141.077256000000	140.716256000000	-0.078947368257	0.768000000000	0.711000000000	0.739500000000
Dipole 9	147.026538000000	152.206538000000	149.616538000000	0.100772200431	-0.577000000000	-0.055000000000	-0.316000000000
QD 9	155.238038000000	155.977038000000	155.607538000000	0.637347680954	0.462000000000	0.933000000000	0.697500000000
QF 9	156.691538000000	157.413538000000	157.052538000000	-0.155124652495	0.617000000000	0.505000000000	0.561000000000
