bpm	plane	beam_energy_mev	tune	tune_err	closed_orbit_mm	closed_orbit_mm_err	beta_h_mm	beta_v_mm	tune_spread	tune_spread_err	tune_shift_per_turn	tune_shift_per_turn_err	closed_orbit_shift_per_turn_mm	closed_orbit_shift_per_turn_mm_err	betatron_phase_rad	betatron_phase_rad_err	beta_h_mm_err	beta_v_mm_err	beta_err	revolution_frequency_hz
R0HM1	H	71.16970040656292	0.3490526246639994	0.0011505264497462077	8.680849841114295	0.5956113204365053	-36.79634747813804	NaN	0.05209529271993607	0.0032439228038804832	4.27035950133338e-05	3.0814315894272004e-05	-0.10001693398890475	0.016042778124732076	-1.4722474032866875	0.04587054195029507	1.6003475055227194	NaN	1.6003475055227194	676818.3716159806
R1HM1	H	71.13109320862083	0.3533871301073898	0.0021190107951023778	19.231219919570187	1.0007912114836226	-35.2814843497039	NaN	0.0523228977883264	0.0056721628571029074	1.973508925493938e-05	5.608292055591314e-05	-0.10170774055897241	0.02654421305135837	-0.7294313084888852	0.08579502199041693	2.6553625865735317	NaN	2.6553625865735317	676723.2515981784
R3HM1	H	71.1837471387069	0.3492442297859298	0.0013163924349443793	15.960571241096421	0.9321980255340534	-44.38080238341296	NaN	0.045621207491842494	0.003532137576395794	4.5004543425839455e-05	3.2509210378821084e-05	-0.07884506171173053	0.025115708375233387	-1.2972033115780806	0.05735503216611213	2.3669050323753247	NaN	2.3669050323753247	676849.6397233424
R4HM2	H	71.15700171127133	0.34801522673048757	0.0013835596831856636	25.62397004471176	0.9032317491678084	45.15316965683888	NaN	0.050404313026037054	0.003821298351619531	5.6612552197148405e-05	3.608367090613387e-05	-0.11761027235202492	0.024327816012594906	-1.6037839009644337	0.0569330486963988	2.374017504912492	NaN	2.374017504912492	676793.6593561049
R5HM1	H	71.18687053096107	0.3500127765618624	0.0010070919942843477	16.6160774427324	0.6683548583247048	-44.6802488462839	NaN	0.04615017417305846	0.002473487752358032	3.622679175996224e-05	2.4241774015062232e-05	-0.13061986949076512	0.017999415835255557	-2.16921734400141	0.045843893626104304	1.5994483649754467	NaN	1.5994483649754467	676766.882001929
R7HM1	H	71.1767920524556	0.34996895581407583	0.0012798843035016485	-3.2895987722314333	0.7102546284294531	36.57224894278603	NaN	0.0441129611344048	0.0030273049418899026	2.7536600008541917e-05	3.0264166646963675e-05	-0.016087973464516493	0.019131157949828285	-0.39993537886161096	0.05925549639377744	1.6767096409422242	NaN	1.6767096409422242	676804.8871353075
R7HM2	H	71.19469128474833	0.3505857210384526	0.0014309648915413543	-0.8507761963979936	0.8931679127346155	46.4653573356705	NaN	0.048030891025401756	0.003254322351366946	2.1955692294389976e-05	3.477949671367769e-05	-0.15152579095844126	0.02404610017274398	0.13299997821868145	0.06465084154160836	2.063863878464817	NaN	2.063863878464817	676634.732935277
R8HM2	H	71.17692139584847	0.35014301794616043	0.0011448745654312105	36.09462482480352	0.6356755432948848	-40.63022082025148	NaN	0.04840511954377757	0.0027221119708021766	2.222923522454431e-05	2.834778568198329e-05	-0.10911383777954099	0.017118949976667266	-0.2625482035485378	0.050440783235752296	1.5299106394147293	NaN	1.5299106394147293	677033.3735768533
R9HM1	H	71.19068398729996	0.35040542013405196	0.001078816007296638	9.72455754881421	0.7503095091614905	45.99494364955223	NaN	0.04557920539597232	0.002683329539053437	1.4555716392764704e-05	2.6187740622890773e-05	-0.1380570580680826	0.020214123207155738	-0.608053654528983	0.04827848105202158	1.8368449561316054	NaN	1.8368449561316054	676751.1251312867
R0VM1	V	70.27624248205615	0.8103210063658339	0.003657382664014485	16.80232333469712	2.3157819836335785	NaN	-41.242190802467	0.04226660983580928	0.008021783891622603	4.248644030523651e-05	8.435144583561108e-05	-0.8256717299144534	0.06435951141774207	-0.20744519281417206	0.17606649750630843	NaN	5.043794807716092	5.043794807716092	669253.4690916245
R3VM1	V	71.16871849864032	0.8111600126841513	0.001067486897465684	0.7054531925926756	0.6385522416784369	NaN	31.1445490421825	0.03590612201688622	0.0025488541097206086	3.1424276848427324e-05	2.303806296241527e-05	0.005894043814040153	0.0169053889777161	1.0900939856998542	0.05465826412451488	NaN	1.44844930114879	1.44844930114879	676809.7851086705
R3VM2	V	71.17267635080032	0.8106005870112565	0.0008839758409991531	-5.478768958912955	0.6195713872330487	NaN	39.10499055399565	0.038362589001890074	0.002106635352242109	2.3559095147644998e-05	1.954813371181647e-05	0.02114036563466305	0.01639423220807723	0.8684537595453902	0.04405071544249444	NaN	1.4209592605327264	1.4209592605327264	676827.5328021285
